submission_id,age,answer,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
4647,43,"No, but we sell cigarettes.",NA,main,Graduated College,120215,1672168597056,1672168476841,male,dutyFree-smokes,English,25696,dutyFree,1,main
4647,43,"No, but there's carpentry if you're interested.",NA,main,Graduated College,120215,1672168597056,1672168476841,male,kidsActivities-crafts,English,22240,kidsActivities,2,main
4647,43,"No, only agave plant.",NA,main,Graduated College,120215,1672168597056,1672168476841,male,interior-green,English,16424,interior,3,main
4647,43,sculpture,NA,sculpture,Graduated College,120215,1672168597056,1672168476841,male,art-painting,English,13600,art,4,filler
4647,43,"No, but there is a circus show.",NA,main,Graduated College,120215,1672168597056,1672168476841,male,touristInfo-childTheatre,English,18200,touristInfo,5,main
4652,36,"sorry, unfortunately we're out of stock at this time. Would you be interested in necklaces instead perhaps?",NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,clothing-acc,"english, welsh",70989,clothing,1,main
4652,36,"only oil, want to take a look?",NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,interior-deco,"english, welsh",35979,interior,2,main
4652,36,only hip hop and jazz sorry,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,touristInfo-clubbing,"english, welsh",43175,touristInfo,3,main
4652,36,classic,NA,classic,Graduated High-school,217810,1672168701395,1672168483585,female,music-softrock,"english, welsh",7387,music,4,filler
4652,36,do you mean iguanas?,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,zoo-reptiles,"english, welsh",31522,zoo,5,main
4664,51,"""I am sorry, but all I have at the moment are golden retrievers, chihuahuas and a gerbil named Fred""",thanks,main,Higher degree,451527,1672169690783,1672169239256,male,petAdoption-dogs,English,124168,petAdoption,1,main
4664,51,teacher,thanks,teacher,Higher degree,451527,1672169690783,1672169239256,male,jobCenter-office,English,19464,jobCenter,2,filler
4664,51,"""Sorry, I don't have them at the moment, though I do have books of French love letters if you are interested""",thanks,main,Higher degree,451527,1672169690783,1672169239256,male,books-romance,English,97448,books,3,main
4664,51,"""Sorry we do not do cigars. All we have are gingerbread, gin and cigarettes""",thanks,main,Higher degree,451527,1672169690783,1672169239256,male,dutyFree-smokes,English,63694,dutyFree,4,main
4664,51,"""Sorry, I only have raspberry pie, but I can offer you a cheesy pizza or chocolate cookie""",thanks,main,Higher degree,451527,1672169690783,1672169239256,male,cafe-pie,English,73816,cafe,5,main
4615,21,"No hun, there is no pottery class but there are acrobatics, watercolor painting and carpentry classes",I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,kidsActivities-crafts,English,48902,kidsActivities,1,main
4615,21,"Unfortunately we do not. However we do have iced coffee, chardonnay and  craft beer.",I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,bar-whiteWine,English,32392,bar,2,main
4615,21,No only the Macbook air.,I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,electronics-laptop,English,15526,electronics,3,main
4615,21,"No sorry we only offer rubber dinghies, water ski equipment and kayaks.",I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,waterSport-motor,English,21199,waterSport,4,main
4615,21,motorcycle,I think just make the  font size a little bit bigger,motorcycle,Higher degree,164587,1672164847535,1672164682948,female,carRental-fun,English,10689,carRental,5,filler
4622,35,Sculpture,NA,sculpture,Graduated High-school,161703,1672164976737,1672164815034,male,art-drawing,English,17330,art,1,filler
4622,35,"No

",NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,dutyFree-sweets,English,41692,dutyFree,2,main
4622,35,"No

",NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,kidsActivities-sports,English,22272,kidsActivities,3,main
4622,35,"No

",NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,bar-tea,English,14250,bar,4,main
4622,35,"No

",NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,touristInfo-clubbing,English,24360,touristInfo,5,main
4631,56,teacher,All good!,teacher,Graduated College,180499,1672165849506,1672165669007,male,jobCenter-engineer,English,16806,jobCenter,1,filler
4631,56,"No, sorry, we don’t.",All good!,main,Graduated College,180499,1672165849506,1672165669007,male,gym-boxing,English,23585,gymActivities,2,main
4631,56,"No, unfortunately we don’t have any of those.",All good!,main,Graduated College,180499,1672165849506,1672165669007,male,books-fantasy,English,26441,books,3,main
4631,56,"No,sorry, but we do have iced coffee, if you’d like that.",All good!,main,Graduated College,180499,1672165849506,1672165669007,male,bar-tea,English,41232,bar,4,main
4631,56,"No, I’m sorry.",All good!,main,Graduated College,180499,1672165849506,1672165669007,male,bookingAgency-highClassAccommodation,English,34337,bookingAgency,5,main
4632,69,"No I'm sorry, but maybe you would like to try a zumba class",NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,gym-yoga,English,26584,gymActivities,1,main
4632,69,teacher,NA,teacher,Graduated High-school,208141,1672165879722,1672165671581,female,jobCenter-office,English,21296,jobCenter,2,filler
4632,69,"No I'm sorry, but we have some lovely golden retrievers if you were interested",NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,petAdoption-dogs,English,29856,petAdoption,3,main
4632,69,"Sorry, but no.  However ,we do have some rather delicious chardonnay",NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,bar-whiteWine,English,49439,bar,4,main
4632,69,"NO, I'm sorry I only have cigarettes.",NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,dutyFree-smokes,English,29952,dutyFree,5,main
4607,60,London,NA,London,Graduated College,232254,1672163527107,1672163294853,female,airport-usa,English,17498,airport,1,filler
4607,60,"Sorry, I don't have that.",NA,main,Graduated College,232254,1672163527107,1672163294853,female,friendsActivities-boardGames,English,47887,friendsActivities,2,main
4607,60,There aren't any tigers but we could see a lion.,NA,main,Graduated College,232254,1672163527107,1672163294853,female,zoo-xl,English,38855,zoo,3,main
4607,60,No sorry but we can offer pilates.,NA,main,Graduated College,232254,1672163527107,1672163294853,female,gym-yoga,English,30326,gymActivities,4,main
4607,60,No but I do have an agarve plant.,NA,main,Graduated College,232254,1672163527107,1672163294853,female,interior-green,English,61124,interior,5,main
4609,41,No there isnt,NA,main,Higher degree,66202,1672164756012,1672164689810,female,touristInfo-childTheatre,English,10817,touristInfo,1,main
4609,41,No we don't,NA,main,Higher degree,66202,1672164756012,1672164689810,female,petAdoption-dogs,English,10428,petAdoption,2,main
4609,41,No there isnt,NA,main,Higher degree,66202,1672164756012,1672164689810,female,bookingAgency-lowClassAccommodation,English,10730,bookingAgency,3,main
4609,41,Classic,NA,classic,Higher degree,66202,1672164756012,1672164689810,female,music-hardrock,English,11271,music,4,filler
4609,41,No we dont,NA,main,Higher degree,66202,1672164756012,1672164689810,female,electronics-laptop,English,6633,electronics,5,main
4616,27,"Yeah, do you want to play?",NA,main,Higher degree,132469,1672164859766,1672164727297,female,friendsActivities-boardGames,NA,23181,friendsActivities,1,main
4616,27,classic,NA,classic,Higher degree,132469,1672164859766,1672164727297,female,music-hardrock,NA,8824,music,2,filler
4616,27,"No sorry, we have the MacBook Air though if that interests you.",NA,main,Higher degree,132469,1672164859766,1672164727297,female,electronics-laptop,NA,25738,electronics,3,main
4616,27,"Unfortunately not this year, but you can try either carpentry or water colour painting.",NA,main,Higher degree,132469,1672164859766,1672164727297,female,kidsActivities-crafts,NA,41258,kidsActivities,4,main
4616,27,"Not a cake, but we have raspberry pie.",NA,main,Higher degree,132469,1672164859766,1672164727297,female,cafe-pie,NA,21221,cafe,5,main
4637,56,motorcycle,NA,motorcycle,Higher degree,293013,1672166014283,1672165721270,male,carRental-fun,English,28941,carRental,1,filler
4637,56,Not as far as i know,NA,main,Higher degree,293013,1672166014283,1672165721270,male,bookingAgency-lowClassAccommodation,English,42849,bookingAgency,2,main
4637,56,"No, but i have a macbook air",NA,main,Higher degree,293013,1672166014283,1672165721270,male,electronics-laptop,English,48173,electronics,3,main
4637,56,"No, would you like an agave plant or some tulips instead?",NA,main,Higher degree,293013,1672166014283,1672165721270,male,interior-green,English,60151,interior,4,main
4637,56,"No, would french love letters be of any interest?",NA,main,Higher degree,293013,1672166014283,1672165721270,male,books-romance,English,41909,books,5,main
4614,30,sculpture,NA,sculpture,Graduated College,142055,1672164834373,1672164692318,male,art-painting,English,17962,art,1,filler
4614,30,We can go and see the lions which are similar to tigers.,NA,main,Graduated College,142055,1672164834373,1672164692318,male,zoo-xl,English,32390,zoo,2,main
4614,30,"No, but we do have a selection of sweatshirts.",NA,main,Graduated College,142055,1672164834373,1672164692318,male,clothing-clothes,English,24283,clothing,3,main
4614,30,I have some tulips or an agave plant.,NA,main,Graduated College,142055,1672164834373,1672164692318,male,interior-green,English,29872,interior,4,main
4614,30,"No, but we do have French love letters.",NA,main,Graduated College,142055,1672164834373,1672164692318,male,books-romance,English,20315,books,5,main
4617,24,We have kickboxing classes - would you be interested in that?,NA,main,Graduated College,183518,1672164871173,1672164687655,female,gym-boxing,"English, Japanese",25192,gymActivities,1,main
4617,24,I don't at the moment. Do you have any watercolour artists you like?,NA,main,Graduated College,183518,1672164871173,1672164687655,female,interior-deco,"English, Japanese",42953,interior,2,main
4617,24,London,NA,London,Graduated College,183518,1672164871173,1672164687655,female,airport-europe-UPDATED,"English, Japanese",7099,airport,3,filler
4617,24,"Sorry, we don't have gymnastics, but why don't you give acrobatics or karate a go? Or we have watercolour painting as well.",NA,main,Graduated College,183518,1672164871173,1672164687655,female,kidsActivities-sports,"English, Japanese",32921,kidsActivities,4,main
4617,24,I haven't got Netflix but I've got some movies we could watch. Take a look and pick out something you like!,NA,main,Graduated College,183518,1672164871173,1672164687655,female,friendsActivities-videoEntertainment,"English, Japanese",34546,friendsActivities,5,main
4624,22,"Unfortunately, we do not have any earrings.",NA,main,Higher degree,111973,1672165025747,1672164913774,female,clothing-acc,English,15714,clothing,1,main
4624,22,London,NA,London,Higher degree,111973,1672165025747,1672164913774,female,airport-europe-UPDATED,English,5267,airport,2,filler
4624,22,"We do not sell cookies. However, we do sell gingerbread which may suit you.",NA,main,Higher degree,111973,1672165025747,1672164913774,female,dutyFree-sweets,English,19241,dutyFree,3,main
4624,22,"Unfortunately, we do not have any psychological thrillers in stock. We have mystery and adventure books, which may be suitable alternatives.",NA,main,Higher degree,111973,1672165025747,1672164913774,female,books-fantasy,English,31800,books,4,main
4624,22,"I'm sorry honey, there are no chameleons! Would you like to see an iguana instead?",NA,main,Higher degree,111973,1672165025747,1672164913774,female,zoo-reptiles,English,26446,zoo,5,main
4645,32,No I only have a macnook air,NA,main,Graduated High-school,114897,1672168586674,1672168471777,male,electronics-laptop,English,25916,electronics,1,main
4645,32,No but we do have raspberry pie,NA,main,Graduated High-school,114897,1672168586674,1672168471777,male,cafe-pie,English,17965,cafe,2,main
4645,32,No but we do have water ski equipment,NA,main,Graduated High-school,114897,1672168586674,1672168471777,male,waterSport-motor,English,27111,waterSport,3,main
4645,32,classic,NA,classic,Graduated High-school,114897,1672168586674,1672168471777,male,music-hardrock,English,15817,music,4,filler
4645,32,No only cigarettes,NA,main,Graduated High-school,114897,1672168586674,1672168471777,male,dutyFree-smokes,English,14229,dutyFree,5,main
4669,32,classic,NA,classic,Graduated College,166429,1672171749381,1672171582952,female,music-hardrock,English,19046,music,1,filler
4669,32,No. We have a book of french love letters,NA,main,Graduated College,166429,1672171749381,1672171582952,female,books-romance,English,36004,books,2,main
4669,32,Yes we do,NA,main,Graduated College,166429,1672171749381,1672171582952,female,waterSport-motor,English,27255,waterSport,3,main
4669,32,No. We have a MacBook Air,NA,main,Graduated College,166429,1672171749381,1672171582952,female,electronics-laptop,English,24381,electronics,4,main
4669,32,"No, I have an agave plant",NA,main,Graduated College,166429,1672171749381,1672171582952,female,interior-green,English,35646,interior,5,main
4676,39,No sorry we dont,NA,main,Graduated College,293514,1672171892794,1672171599280,male,petAdoption-dogs,English,16364,petAdoption,1,main
4676,39,Yes we sure do,NA,main,Graduated College,293514,1672171892794,1672171599280,male,dutyFree-smokes,English,134256,dutyFree,2,main
4676,39,We've got french love letters will that do?,NA,main,Graduated College,293514,1672171892794,1672171599280,male,books-romance,English,28662,books,3,main
4676,39,"Unfortunately there is no Tiger, but the lions are good!",NA,main,Graduated College,293514,1672171892794,1672171599280,male,zoo-xl,English,40426,zoo,4,main
4676,39,Sculpture,NA,sculpture,Graduated College,293514,1672171892794,1672171599280,male,art-painting,English,36097,art,5,filler
4608,37,"Yes, do you want to go there first? Or shall we just find them when we have seen other animals first?",NA,main,Graduated College,294707,1672163620570,1672163325864,female,zoo-reptiles,English,81528,zoo,1,main
4608,37,Hi sorry no we don't have any of these in stock.,NA,main,Graduated College,294707,1672163620570,1672163325864,female,electronics-console,English,21723,electronics,2,main
4608,37,Sorry we do not sell cookies but we have gingerbread or granola bars as an alternative?,NA,main,Graduated College,294707,1672163620570,1672163325864,female,dutyFree-sweets,English,34775,dutyFree,3,main
4608,37,"We do not stock psychological thrillers, but if you are still interested in buying a book, maybe a mystery instead?",NA,main,Graduated College,294707,1672163620570,1672163325864,female,books-fantasy,English,55303,books,4,main
4608,37,"There isn't any of those vacancies at the moment, however we do have either an electrican job or a car mechanic. If these aren't suitable, i can take your details to forward any jobs that do come in",NA,teacher,Graduated College,294707,1672163620570,1672163325864,female,jobCenter-engineer,English,80701,jobCenter,5,filler
4619,34,"No, I have chardonnay",NA,main,Graduated High-school,208664,1672164898665,1672164690001,female,bar-whiteWine,British,31542,bar,1,main
4619,34,Motorcycle,NA,motorcycle,Graduated High-school,208664,1672164898665,1672164690001,female,carRental-fun,British,14904,carRental,2,filler
4619,34,"No, but we do offer Pilates",NA,main,Graduated High-school,208664,1672164898665,1672164690001,female,gym-yoga,British,50345,gymActivities,3,main
4619,34,No but we have a circus performance,NA,main,Graduated High-school,208664,1672164898665,1672164690001,female,touristInfo-childTheatre,British,26526,touristInfo,4,main
4619,34,No but we have checkers and monopoly,NA,main,Graduated High-school,208664,1672164898665,1672164690001,female,friendsActivities-boardGames,British,28249,friendsActivities,5,main
4623,55,"No, sorry we don't serve ided tea",Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,bar-tea,English,48343,bar,1,main
4623,55,London,Just to say good luck,London,Higher degree,312976,1672165009891,1672164696915,male,airport-europe-UPDATED,English,65936,airport,2,filler
4623,55,We don't rent canoes but kayaks are similar,Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,waterSport-muscle,English,51478,waterSport,3,main
4623,55,"If you accept cheese pizza is vegetarian, then yes we do",Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,cafe-pizza,English,41312,cafe,4,main
4623,55,"I'm sorry, we only have kickboxing",Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,gym-boxing,English,29874,gymActivities,5,main
4653,45,The DJ might play some electronic music.,NA,main,Graduated High-school,217021,1672168702974,1672168485953,female,touristInfo-clubbing,English,43859,touristInfo,1,main
4653,45,We do a kickboxing class.,NA,main,Graduated High-school,217021,1672168702974,1672168485953,female,gym-boxing,English,27015,gymActivities,2,main
4653,45,classic,NA,classic,Graduated High-school,217021,1672168702974,1672168485953,female,music-softrock,English,20484,music,3,filler
4653,45,"Sorry, we don’t have any of those in stock at the moment.",NA,main,Graduated High-school,217021,1672168702974,1672168485953,female,books-fantasy,English,32201,books,4,main
4653,45,We have kayaks.,NA,main,Graduated High-school,217021,1672168702974,1672168485953,female,waterSport-muscle,English,18761,waterSport,5,main
4605,23,classic,NA,classic,Graduated College,247064,1672163430843,1672163183779,female,music-softrock,English,7096,music,1,filler
4605,23,"No, there are no single rooms in any five-star hotels available. The closest to this is a suite in a four-star hotel.",NA,main,Graduated College,247064,1672163430843,1672163183779,female,bookingAgency-highClassAccommodation,English,95905,bookingAgency,2,main
4605,23,"Unfortunately we do not offer boxing classes. However, we do offer kickboxing, karate and pilates.",NA,main,Graduated College,247064,1672163430843,1672163183779,female,gym-boxing,English,42229,gymActivities,3,main
4605,23,Unfortunately we do not have any playstations in stock. However we do have other electronics and game consoles.,NA,main,Graduated College,247064,1672163430843,1672163183779,female,electronics-console,English,37760,electronics,4,main
4605,23,"We have cheese pizza which is vegeterian, however we do not have any pizzas with vegetable toppings.",NA,main,Graduated College,247064,1672163430843,1672163183779,female,cafe-pizza,English,45019,cafe,5,main
4621,28,"No sorry, we do not have any Hawaiian shirts in stock.",NA,main,Higher degree,236006,1672164927668,1672164691662,female,clothing-clothes,English,18069,clothing,1,main
4621,28,teacher,NA,teacher,Higher degree,236006,1672164927668,1672164691662,female,jobCenter-office,English,15459,jobCenter,2,filler
4621,28,"No sorry, we do not rent jet skis.",NA,main,Higher degree,236006,1672164927668,1672164691662,female,waterSport-motor,English,24695,waterSport,3,main
4621,28,"No sorry, we do not have a bed in a youth hostel available for tomorrow night.",NA,main,Higher degree,236006,1672164927668,1672164691662,female,bookingAgency-lowClassAccommodation,English,27676,bookingAgency,4,main
4621,28,"No sorry, we do not offer yoga classes.",NA,main,Higher degree,236006,1672164927668,1672164691662,female,gym-yoga,English,26889,gymActivities,5,main
4626,36,no there is not,NA,main,Higher degree,111581,1672165793490,1672165681909,male,touristInfo-childTheatre,english,31488,touristInfo,1,main
4626,36,motorcycle,NA,motorcycle,Higher degree,111581,1672165793490,1672165681909,male,carRental-fun,english,13979,carRental,2,filler
4626,36,no there isn't one here,NA,main,Higher degree,111581,1672165793490,1672165681909,male,zoo-xl,english,17342,zoo,3,main
4626,36,nope,NA,main,Higher degree,111581,1672165793490,1672165681909,male,interior-green,english,15800,interior,4,main
4626,36,i do not,NA,main,Higher degree,111581,1672165793490,1672165681909,male,friendsActivities-boardGames,english,11511,friendsActivities,5,main
4633,40,London,NA,London,Graduated College,200187,1672165880913,1672165680726,male,airport-europe-UPDATED,English,26816,airport,1,filler
4633,40,"No, but there is a hip hop show, a circus show and a jazz show",NA,main,Graduated College,200187,1672165880913,1672165680726,male,touristInfo-clubbing,English,66245,touristInfo,2,main
4633,40,There are no chameleons little Dave,NA,main,Graduated College,200187,1672165880913,1672165680726,male,zoo-reptiles,English,32652,zoo,3,main
4633,40,No but you could try kick-boxing if you like,NA,main,Graduated College,200187,1672165880913,1672165680726,male,gym-boxing,English,24868,gymActivities,4,main
4633,40,No but we have gerbils if you like,NA,main,Graduated College,200187,1672165880913,1672165680726,male,petAdoption-hamster,English,22212,petAdoption,5,main
4643,60,We have an acrobatics class which is similar to gymnastics.,NA,main,Graduated College,678649,1672166354788,1672165676139,male,kidsActivities-sports,English,110730,kidsActivities,1,main
4643,60,Yes. We'll see it soon. Let's see all the animals. We'll be at the reptile house soon.,NA,main,Graduated College,678649,1672166354788,1672165676139,male,zoo-reptiles,English,212361,zoo,2,main
4643,60,"The closest we have to cookies, sir, are granola bars and gingerbread.",NA,main,Graduated College,678649,1672166354788,1672165676139,male,dutyFree-sweets,English,82681,dutyFree,3,main
4643,60,No. I have oil paintings though. Would you like to have a look at them ? I painted them myself.,NA,main,Graduated College,678649,1672166354788,1672165676139,male,interior-deco,English,148032,interior,4,main
4643,60,teacher,NA,teacher,Graduated College,678649,1672166354788,1672165676139,male,jobCenter-engineer,English,29630,jobCenter,5,filler
4613,30,"I'm sorry, we don't have any currently.",NA,main,Graduated College,112591,1672164823439,1672164710848,female,books-fantasy,English,16966,books,1,main
4613,30,"I'm sorry we don't, but we do have iced coffee if that's any good for you?",NA,main,Graduated College,112591,1672164823439,1672164710848,female,bar-tea,English,22371,bar,2,main
4613,30,"We don't unfortunately, would you like me to show you what we have in stock?",NA,main,Graduated College,112591,1672164823439,1672164710848,female,electronics-console,English,20503,electronics,3,main
4613,30,London,NA,London,Graduated College,112591,1672164823439,1672164710848,female,airport-europe-UPDATED,English,6548,airport,4,filler
4613,30,"There is a club event, but it's with hip hop rather than electronic music.",NA,main,Graduated College,112591,1672164823439,1672164710848,female,touristInfo-clubbing,English,26191,touristInfo,5,main
4618,29,London,NA,London,Graduated College,195248,1672164888791,1672164693543,female,airport-usa,English,15664,airport,1,filler
4618,29,No I’m afraid not,NA,main,Graduated College,195248,1672164888791,1672164693543,female,bookingAgency-lowClassAccommodation,English,38113,bookingAgency,2,main
4618,29,No but I have an agave plant,NA,main,Graduated College,195248,1672164888791,1672164693543,female,interior-green,English,36281,interior,3,main
4618,29,No but I have books of French love letters,NA,main,Graduated College,195248,1672164888791,1672164693543,female,books-romance,English,28609,books,4,main
4618,29,We only have Chardonnay I’m afraid,NA,main,Graduated College,195248,1672164888791,1672164693543,female,bar-whiteWine,English,23698,bar,5,main
4628,25,London,NA,London,Higher degree,150375,1672165832167,1672165681792,female,airport-usa,English,14452,airport,1,filler
4628,25,Yes,NA,main,Higher degree,150375,1672165832167,1672165681792,female,interior-green,English,39416,interior,2,main
4628,25,Yes there is.,NA,main,Higher degree,150375,1672165832167,1672165681792,female,books-romance,English,14751,books,3,main
4628,25,No there is not,NA,main,Higher degree,150375,1672165832167,1672165681792,female,kidsActivities-crafts,English,19768,kidsActivities,4,main
4628,25,There is a circus show,NA,main,Higher degree,150375,1672165832167,1672165681792,female,touristInfo-childTheatre,English,20435,touristInfo,5,main
4630,36,"No, but I do have monopoly!",NA,main,Graduated College,158740,1672165844403,1672165685663,female,friendsActivities-boardGames,NA,17245,friendsActivities,1,main
4630,36,"Hmm, not exactly but I have French love letters, would that be any good?",NA,main,Graduated College,158740,1672165844403,1672165685663,female,books-romance,NA,20813,books,2,main
4630,36,"There isn't anything in a hostel, maybe a budget room or cheap b&b would be useful?",NA,main,Graduated College,158740,1672165844403,1672165685663,female,bookingAgency-lowClassAccommodation,NA,39627,bookingAgency,3,main
4630,36,"We only have sweatshirts unfortunately, but I might be able to get something in if you could come back",NA,main,Graduated College,158740,1672165844403,1672165685663,female,clothing-clothes,NA,29649,clothing,4,main
4630,36,sculpture,NA,sculpture,Graduated College,158740,1672165844403,1672165685663,female,art-painting,NA,11891,art,5,filler
4644,58,"No we do not but we have an Xbox, a game boy and a MacBook air",NA,main,Graduated College,272968,1672167891866,1672167618898,male,electronics-console,English,51042,electronics,1,main
4644,58,I have Netflix for the movies but I also have some games that we could play first,NA,main,Graduated College,272968,1672167891866,1672167618898,male,friendsActivities-videoEntertainment,English,45033,friendsActivities,2,main
4644,58,"No we do not but would you like to try kickboxing, karate or even some pilates",NA,main,Graduated College,272968,1672167891866,1672167618898,male,gym-boxing,English,56228,gymActivities,3,main
4644,58,No we have no canoes but we do offer kayaks and pedal boats,NA,main,Graduated College,272968,1672167891866,1672167618898,male,waterSport-muscle,English,50817,waterSport,4,main
4644,58,sculpture,NA,sculpture,Graduated College,272968,1672167891866,1672167618898,male,art-drawing,English,27421,art,5,filler
4610,30,classic,NA,classic,Higher degree,106785,1672164788994,1672164682209,female,music-softrock,English,15503,music,1,filler
4610,30,"No, but we have a gameboy or xbox",NA,main,Higher degree,106785,1672164788994,1672164682209,female,electronics-console,English,18099,electronics,2,main
4610,30,"
No we don't",NA,main,Higher degree,106785,1672164788994,1672164682209,female,bar-tea,English,12580,bar,3,main
4610,30,No but we have gerbils,NA,main,Higher degree,106785,1672164788994,1672164682209,female,petAdoption-hamster,English,10279,petAdoption,4,main
4610,30,No we don't,NA,main,Higher degree,106785,1672164788994,1672164682209,female,books-fantasy,English,11413,books,5,main
4629,45,"No, we have a suite available in a four star hotel or an apartment close to the city.",NA,main,Higher degree,166231,1672165840245,1672165674014,female,bookingAgency-highClassAccommodation,English,77851,bookingAgency,1,main
4629,45,teacher,NA,teacher,Higher degree,166231,1672165840245,1672165674014,female,jobCenter-engineer,English,12708,jobCenter,2,filler
4629,45,Yes we have a cheese piazza,NA,main,Higher degree,166231,1672165840245,1672165674014,female,cafe-pizza,English,11359,cafe,3,main
4629,45,We don't have gymnastics but we do have acrobatics,NA,main,Higher degree,166231,1672165840245,1672165674014,female,kidsActivities-sports,English,26999,kidsActivities,4,main
4629,45,Unfortunately not,NA,main,Higher degree,166231,1672165840245,1672165674014,female,clothing-acc,English,16144,clothing,5,main
4634,69,Sorry i do not so I have arranged either Monopoloy or checkers,NA,main,Did not graduate High-school,227212,1672165893433,1672165666221,male,friendsActivities-boardGames,English,33660,friendsActivities,1,main
4634,69,teacher,NA,teacher,Did not graduate High-school,227212,1672165893433,1672165666221,male,jobCenter-office,English,22390,jobCenter,2,filler
4634,69,Sorry we only have Chardonnay or iced coffee,NA,main,Did not graduate High-school,227212,1672165893433,1672165666221,male,bar-whiteWine,English,32403,bar,3,main
4634,69,Sorry no but i can offer sweatshirts,NA,main,Did not graduate High-school,227212,1672165893433,1672165666221,male,clothing-clothes,English,27992,clothing,4,main
4634,69,Sorry the only dog we have available is golden retrievers,NA,main,Did not graduate High-school,227212,1672165893433,1672165666221,male,petAdoption-dogs,English,38591,petAdoption,5,main
4654,53,I have a lovely oil painting if you want it.,NA,main,Higher degree,262809,1672168750445,1672168487636,male,interior-deco,English,94978,interior,1,main
4654,53,"No, sorry I don't",NA,main,Higher degree,262809,1672168750445,1672168487636,male,petAdoption-hamster,English,20469,petAdoption,2,main
4654,53,sculpture,NA,sculpture,Higher degree,262809,1672168750445,1672168487636,male,art-drawing,English,20049,art,3,filler
4654,53,"Oh yes, we have wonderful kayaks",NA,main,Higher degree,262809,1672168750445,1672168487636,male,waterSport-muscle,English,41159,waterSport,4,main
4654,53,"Nothing that would suit your needs sir, sorry",NA,main,Higher degree,262809,1672168750445,1672168487636,male,bookingAgency-highClassAccommodation,English,45955,bookingAgency,5,main
