,itemName,settingName,question,taciturn,competitor,mostSimilar,otherCategory,context,context_qa,sameCategory_0,sameCategory_1,sameCategory_2,sameCategory_3,sameCategory_4,sameCategory_5,sameCategory_6,sameCategory_7,sameCategory_8,sameCategory_9,sameCategory_10,sameCategory_11,sameCategory_12,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5,fullList_6,fullList_7,fullList_8,fullList_9,fullList_10,fullList_11,fullList_12,fullList_13,fullList_14,fullList_15,fullList_16,fullList_17,fullList_18,fullList_19,fullList_20,fullList_21,fullList_22,fullList_23
10,broom-renovation,broom,Do you have a broom?,"I'm sorry, I don't have a broom.","No, but I have a vacuum cleaner.","No, but I have a hand brush.","No, but I have a lamp.","Your neighbors recently finished renovating their apartment. They are now cleaning up after renovation. You heard that they don’t have any household supplies yet since they plan to move in next week. In your apartment, you have a vacuum cleaner, a hand brush, a shovel, and a lamp. One of your neighbors rings your bell and asks: Do you have a broom? You reply:","Your neighbors recently finished renovating their apartment. They are now cleaning up after renovation. You heard that they don’t have any household supplies yet since they plan to move in next week. In your apartment, you have a vacuum cleaner, a hand brush, a shovel, and a lamp. One of your neighbors rings your bell and asks:","No, but I have a vacuum cleaner, a hand brush, a shovel.","No, but I have a vacuum cleaner, a shovel, a hand brush.","No, but I have a hand brush, a vacuum cleaner, a shovel.","No, but I have a hand brush, a shovel, a vacuum cleaner.","No, but I have a shovel, a vacuum cleaner, a hand brush.","No, but I have a shovel, a hand brush, a vacuum cleaner.","No, but I have a vacuum cleaner and a shovel.","No, but I have a shovel and a vacuum cleaner.","No, but I have a shovel.","No, but I have a vacuum cleaner and a hand brush.","No, but I have a hand brush and a vacuum cleaner.","No, but I have a hand brush and a shovel.","No, but I have a shovel and a hand brush.","No, but I have a vacuum cleaner, a hand brush, a shovel, a lamp.","No, but I have a vacuum cleaner, a hand brush, a lamp, a shovel.","No, but I have a vacuum cleaner, a shovel, a hand brush, a lamp.","No, but I have a vacuum cleaner, a shovel, a lamp, a hand brush.","No, but I have a vacuum cleaner, a lamp, a hand brush, a shovel.","No, but I have a vacuum cleaner, a lamp, a shovel, a hand brush.","No, but I have a hand brush, a vacuum cleaner, a shovel, a lamp.","No, but I have a hand brush, a vacuum cleaner, a lamp, a shovel.","No, but I have a hand brush, a shovel, a vacuum cleaner, a lamp.","No, but I have a hand brush, a shovel, a lamp, a vacuum cleaner.","No, but I have a hand brush, a lamp, a vacuum cleaner, a shovel.","No, but I have a hand brush, a lamp, a shovel, a vacuum cleaner.","No, but I have a shovel, a vacuum cleaner, a hand brush, a lamp.","No, but I have a shovel, a vacuum cleaner, a lamp, a hand brush.","No, but I have a shovel, a hand brush, a vacuum cleaner, a lamp.","No, but I have a shovel, a hand brush, a lamp, a vacuum cleaner.","No, but I have a shovel, a lamp, a vacuum cleaner, a hand brush.","No, but I have a shovel, a lamp, a hand brush, a vacuum cleaner.","No, but I have a lamp, a vacuum cleaner, a hand brush, a shovel.","No, but I have a lamp, a vacuum cleaner, a shovel, a hand brush.","No, but I have a lamp, a hand brush, a vacuum cleaner, a shovel.","No, but I have a lamp, a hand brush, a shovel, a vacuum cleaner.","No, but I have a lamp, a shovel, a vacuum cleaner, a hand brush.","No, but I have a lamp, a shovel, a hand brush, a vacuum cleaner."
11,broom-snow,broom,Do you have a broom?,"I'm sorry, I don't have a broom.","No, but I have a shovel.","No, but I have a hand brush.","No, but I have a lamp.","You live in a suburban house and share the driveway to your house with your neighbors. You take turns taking care of the road. You just woke up, looked out of the window and noticed that it snowed over the night, which is not very common in your area. This week it’s your neighbors’ turn to take care of the driveway. In your house, you happen to have a shovel, a hand brush, a vacuum cleaner, and a lamp. Your neighbor rings at your door and asks: Do you have a broom? You reply:","You live in a suburban house and share the driveway to your house with your neighbors. You take turns taking care of the road. You just woke up, looked out of the window and noticed that it snowed over the night, which is not very common in your area. This week it’s your neighbors’ turn to take care of the driveway. In your house, you happen to have a shovel, a hand brush, a vacuum cleaner, and a lamp. Your neighbor rings at your door and asks:","No, but I have a shovel, a hand brush, a vacuum cleaner.","No, but I have a shovel, a vacuum cleaner, a hand brush.","No, but I have a hand brush, a shovel, a vacuum cleaner.","No, but I have a hand brush, a vacuum cleaner, a shovel.","No, but I have a vacuum cleaner, a shovel, a hand brush.","No, but I have a vacuum cleaner, a hand brush, a shovel.","No, but I have a shovel and a vacuum cleaner.","No, but I have a vacuum cleaner and a shovel.","No, but I have a vacuum cleaner.","No, but I have a shovel and a hand brush.","No, but I have a hand brush and a shovel.","No, but I have a hand brush and a vacuum cleaner.","No, but I have a vacuum cleaner and a hand brush.","No, but I have a shovel, a hand brush, a vacuum cleaner, a lamp.","No, but I have a shovel, a hand brush, a lamp, a vacuum cleaner.","No, but I have a shovel, a vacuum cleaner, a hand brush, a lamp.","No, but I have a shovel, a vacuum cleaner, a lamp, a hand brush.","No, but I have a shovel, a lamp, a hand brush, a vacuum cleaner.","No, but I have a shovel, a lamp, a vacuum cleaner, a hand brush.","No, but I have a hand brush, a shovel, a vacuum cleaner, a lamp.","No, but I have a hand brush, a shovel, a lamp, a vacuum cleaner.","No, but I have a hand brush, a vacuum cleaner, a shovel, a lamp.","No, but I have a hand brush, a vacuum cleaner, a lamp, a shovel.","No, but I have a hand brush, a lamp, a shovel, a vacuum cleaner.","No, but I have a hand brush, a lamp, a vacuum cleaner, a shovel.","No, but I have a vacuum cleaner, a shovel, a hand brush, a lamp.","No, but I have a vacuum cleaner, a shovel, a lamp, a hand brush.","No, but I have a vacuum cleaner, a hand brush, a shovel, a lamp.","No, but I have a vacuum cleaner, a hand brush, a lamp, a shovel.","No, but I have a vacuum cleaner, a lamp, a shovel, a hand brush.","No, but I have a vacuum cleaner, a lamp, a hand brush, a shovel.","No, but I have a lamp, a shovel, a hand brush, a vacuum cleaner.","No, but I have a lamp, a shovel, a vacuum cleaner, a hand brush.","No, but I have a lamp, a hand brush, a shovel, a vacuum cleaner.","No, but I have a lamp, a hand brush, a vacuum cleaner, a shovel.","No, but I have a lamp, a vacuum cleaner, a shovel, a hand brush.","No, but I have a lamp, a vacuum cleaner, a hand brush, a shovel."
12,sweatpants-sleepover,sweatpants,Do you have sweatpants?,"I'm sorry, I don't have sweatpants.","No, but I have pyjamas.","No, but I have a pair of leggings.","No, but I have towels.","You have some friends over at your place. They evening got long and it is already way past midnight. Therefore, one guy who lives far away decided to stay over. In you closet you have  pyjamas, a pair of leggings, shorts, and towels. Once other guests left, he wants to change for the night and asks: Do you have sweatpants? You reply:","You have some friends over at your place. They evening got long and it is already way past midnight. Therefore, one guy who lives far away decided to stay over. In you closet you have  pyjamas, a pair of leggings, shorts, and towels. Once other guests left, he wants to change for the night and asks:","No, but I have pyjamas, a pair of leggings, shorts.","No, but I have pyjamas, shorts, a pair of leggings.","No, but I have a pair of leggings, pyjamas, shorts.","No, but I have a pair of leggings, shorts, pyjamas.","No, but I have shorts, pyjamas, a pair of leggings.","No, but I have shorts, a pair of leggings, pyjamas.","No, but I have pyjamas and shorts.","No, but I have shorts and pyjamas.","No, but I have shorts.","No, but I have pyjamas and a pair of leggings.","No, but I have a pair of leggings and pyjamas.","No, but I have a pair of leggings and shorts.","No, but I have shorts and a pair of leggings.","No, but I have pyjamas, a pair of leggings, shorts, towels.","No, but I have pyjamas, a pair of leggings, towels, shorts.","No, but I have pyjamas, shorts, a pair of leggings, towels.","No, but I have pyjamas, shorts, towels, a pair of leggings.","No, but I have pyjamas, towels, a pair of leggings, shorts.","No, but I have pyjamas, towels, shorts, a pair of leggings.","No, but I have a pair of leggings, pyjamas, shorts, towels.","No, but I have a pair of leggings, pyjamas, towels, shorts.","No, but I have a pair of leggings, shorts, pyjamas, towels.","No, but I have a pair of leggings, shorts, towels, pyjamas.","No, but I have a pair of leggings, towels, pyjamas, shorts.","No, but I have a pair of leggings, towels, shorts, pyjamas.","No, but I have shorts, pyjamas, a pair of leggings, towels.","No, but I have shorts, pyjamas, towels, a pair of leggings.","No, but I have shorts, a pair of leggings, pyjamas, towels.","No, but I have shorts, a pair of leggings, towels, pyjamas.","No, but I have shorts, towels, pyjamas, a pair of leggings.","No, but I have shorts, towels, a pair of leggings, pyjamas.","No, but I have towels, pyjamas, a pair of leggings, shorts.","No, but I have towels, pyjamas, shorts, a pair of leggings.","No, but I have towels, a pair of leggings, pyjamas, shorts.","No, but I have towels, a pair of leggings, shorts, pyjamas.","No, but I have towels, shorts, pyjamas, a pair of leggings.","No, but I have towels, shorts, a pair of leggings, pyjamas."
13,sweatpants-spill,sweatpants,Do you have sweatpants?,"I'm sorry, I don't have sweatpants.","No, but I have shorts.","No, but I have a pair of leggings.","No, but I have towels.","It is a hot summer weekend. You have some friends over at your garden for a dinner party. One guest just spilled coffee on his pants. In your closet, you have shorts, a pair of leggings, pyjamas, and towels. He asks: Do you have sweatpants? You reply:","It is a hot summer weekend. You have some friends over at your garden for a dinner party. One guest just spilled coffee on his pants. In your closet, you have shorts, a pair of leggings, pyjamas, and towels. He asks:","No, but I have shorts, a pair of leggings, pyjamas.","No, but I have shorts, pyjamas, a pair of leggings.","No, but I have a pair of leggings, shorts, pyjamas.","No, but I have a pair of leggings, pyjamas, shorts.","No, but I have pyjamas, shorts, a pair of leggings.","No, but I have pyjamas, a pair of leggings, shorts.","No, but I have shorts and pyjamas.","No, but I have pyjamas and shorts.","No, but I have pyjamas.","No, but I have shorts and a pair of leggings.","No, but I have a pair of leggings and shorts.","No, but I have a pair of leggings and pyjamas.","No, but I have pyjamas and a pair of leggings.","No, but I have shorts, a pair of leggings, pyjamas, towels.","No, but I have shorts, a pair of leggings, towels, pyjamas.","No, but I have shorts, pyjamas, a pair of leggings, towels.","No, but I have shorts, pyjamas, towels, a pair of leggings.","No, but I have shorts, towels, a pair of leggings, pyjamas.","No, but I have shorts, towels, pyjamas, a pair of leggings.","No, but I have a pair of leggings, shorts, pyjamas, towels.","No, but I have a pair of leggings, shorts, towels, pyjamas.","No, but I have a pair of leggings, pyjamas, shorts, towels.","No, but I have a pair of leggings, pyjamas, towels, shorts.","No, but I have a pair of leggings, towels, shorts, pyjamas.","No, but I have a pair of leggings, towels, pyjamas, shorts.","No, but I have pyjamas, shorts, a pair of leggings, towels.","No, but I have pyjamas, shorts, towels, a pair of leggings.","No, but I have pyjamas, a pair of leggings, shorts, towels.","No, but I have pyjamas, a pair of leggings, towels, shorts.","No, but I have pyjamas, towels, shorts, a pair of leggings.","No, but I have pyjamas, towels, a pair of leggings, shorts.","No, but I have towels, shorts, a pair of leggings, pyjamas.","No, but I have towels, shorts, pyjamas, a pair of leggings.","No, but I have towels, a pair of leggings, shorts, pyjamas.","No, but I have towels, a pair of leggings, pyjamas, shorts.","No, but I have towels, pyjamas, shorts, a pair of leggings.","No, but I have towels, pyjamas, a pair of leggings, shorts."
14,umbrella-summer,umbrella,Do you have an umbrella?,"I'm sorry, I don't have an umbrella.","No, but I have sunscreen.","No, but I have a plastic bike cover.","No, but I have a tent.","Your house has a beautiful garden and a pool. During the summer you often have friends over in the garden. Today is a really hot day, and a friend wants to lie outside in the garden but doesn’t want to get sunburned. In your storage closet in the house, you have sunscreen, a plastic bike cover, a rain jacket, and a tent. The friend asks: Do you have an umbrella? You reply:","Your house has a beautiful garden and a pool. During the summer you often have friends over in the garden. Today is a really hot day, and a friend wants to lie outside in the garden but doesn’t want to get sunburned. In your storage closet in the house, you have sunscreen, a plastic bike cover, a rain jacket, and a tent. The friend asks:","No, but I have sunscreen, a plastic bike cover, a rain jacket.","No, but I have sunscreen, a rain jacket, a plastic bike cover.","No, but I have a plastic bike cover, sunscreen, a rain jacket.","No, but I have a plastic bike cover, a rain jacket, sunscreen.","No, but I have a rain jacket, sunscreen, a plastic bike cover.","No, but I have a rain jacket, a plastic bike cover, sunscreen.","No, but I have sunscreen and a rain jacket.","No, but I have a rain jacket and sunscreen.","No, but I have a rain jacket.","No, but I have sunscreen and a plastic bike cover.","No, but I have a plastic bike cover and sunscreen.","No, but I have a plastic bike cover and a rain jacket.","No, but I have a rain jacket and a plastic bike cover.","No, but I have sunscreen, a plastic bike cover, a rain jacket, a tent.","No, but I have sunscreen, a plastic bike cover, a tent, a rain jacket.","No, but I have sunscreen, a rain jacket, a plastic bike cover, a tent.","No, but I have sunscreen, a rain jacket, a tent, a plastic bike cover.","No, but I have sunscreen, a tent, a plastic bike cover, a rain jacket.","No, but I have sunscreen, a tent, a rain jacket, a plastic bike cover.","No, but I have a plastic bike cover, sunscreen, a rain jacket, a tent.","No, but I have a plastic bike cover, sunscreen, a tent, a rain jacket.","No, but I have a plastic bike cover, a rain jacket, sunscreen, a tent.","No, but I have a plastic bike cover, a rain jacket, a tent, sunscreen.","No, but I have a plastic bike cover, a tent, sunscreen, a rain jacket.","No, but I have a plastic bike cover, a tent, a rain jacket, sunscreen.","No, but I have a rain jacket, sunscreen, a plastic bike cover, a tent.","No, but I have a rain jacket, sunscreen, a tent, a plastic bike cover.","No, but I have a rain jacket, a plastic bike cover, sunscreen, a tent.","No, but I have a rain jacket, a plastic bike cover, a tent, sunscreen.","No, but I have a rain jacket, a tent, sunscreen, a plastic bike cover.","No, but I have a rain jacket, a tent, a plastic bike cover, sunscreen.","No, but I have a tent, sunscreen, a plastic bike cover, a rain jacket.","No, but I have a tent, sunscreen, a rain jacket, a plastic bike cover.","No, but I have a tent, a plastic bike cover, sunscreen, a rain jacket.","No, but I have a tent, a plastic bike cover, a rain jacket, sunscreen.","No, but I have a tent, a rain jacket, sunscreen, a plastic bike cover.","No, but I have a tent, a rain jacket, a plastic bike cover, sunscreen."
15,umbrella-rain,umbrella,Do you have an umbrella?,"I'm sorry, I don't have an umbrella.","No, but I have a rain jacket.","No, but I have a plastic bike cover.","No, but I have a tent.","You just had coffee with some friends at your house. Now they want to take off but a heavy rain just started. In your storage closet in the house, you have a rain jacket, a plastic bike cover, sunscreen, and a tent. Your friend asks: Do you have an umbrella? You reply:","You just had coffee with some friends at your house. Now they want to take off but a heavy rain just started. In your storage closet in the house, you have a rain jacket, a plastic bike cover, sunscreen, and a tent. Your friend asks:","No, but I have a rain jacket, a plastic bike cover, sunscreen.","No, but I have a rain jacket, sunscreen, a plastic bike cover.","No, but I have a plastic bike cover, a rain jacket, sunscreen.","No, but I have a plastic bike cover, sunscreen, a rain jacket.","No, but I have sunscreen, a rain jacket, a plastic bike cover.","No, but I have sunscreen, a plastic bike cover, a rain jacket.","No, but I have a rain jacket and sunscreen.","No, but I have sunscreen and a rain jacket.","No, but I have sunscreen.","No, but I have a rain jacket and a plastic bike cover.","No, but I have a plastic bike cover and a rain jacket.","No, but I have a plastic bike cover and sunscreen.","No, but I have sunscreen and a plastic bike cover.","No, but I have a rain jacket, a plastic bike cover, sunscreen, a tent.","No, but I have a rain jacket, a plastic bike cover, a tent, sunscreen.","No, but I have a rain jacket, sunscreen, a plastic bike cover, a tent.","No, but I have a rain jacket, sunscreen, a tent, a plastic bike cover.","No, but I have a rain jacket, a tent, a plastic bike cover, sunscreen.","No, but I have a rain jacket, a tent, sunscreen, a plastic bike cover.","No, but I have a plastic bike cover, a rain jacket, sunscreen, a tent.","No, but I have a plastic bike cover, a rain jacket, a tent, sunscreen.","No, but I have a plastic bike cover, sunscreen, a rain jacket, a tent.","No, but I have a plastic bike cover, sunscreen, a tent, a rain jacket.","No, but I have a plastic bike cover, a tent, a rain jacket, sunscreen.","No, but I have a plastic bike cover, a tent, sunscreen, a rain jacket.","No, but I have sunscreen, a rain jacket, a plastic bike cover, a tent.","No, but I have sunscreen, a rain jacket, a tent, a plastic bike cover.","No, but I have sunscreen, a plastic bike cover, a rain jacket, a tent.","No, but I have sunscreen, a plastic bike cover, a tent, a rain jacket.","No, but I have sunscreen, a tent, a rain jacket, a plastic bike cover.","No, but I have sunscreen, a tent, a plastic bike cover, a rain jacket.","No, but I have a tent, a rain jacket, a plastic bike cover, sunscreen.","No, but I have a tent, a rain jacket, sunscreen, a plastic bike cover.","No, but I have a tent, a plastic bike cover, a rain jacket, sunscreen.","No, but I have a tent, a plastic bike cover, sunscreen, a rain jacket.","No, but I have a tent, sunscreen, a rain jacket, a plastic bike cover.","No, but I have a tent, sunscreen, a plastic bike cover, a rain jacket."
16,postit-board,postit,Do you have post-its?,"I'm sorry, I don't have post-its.","No, but I have whiteboard marker.","No, but I have a notebook.","No, but I have an eraser.","Your colleague is organizing a workshop at the office. They want to collect ideas for a new product with the team and gather everyone's thoughts on at the office whiteboard. In your office, you have whiteboard marker, a notebook, sticky bookmarks, and an eraser. Your colleague asks: Do you have post-its? You reply:","Your colleague is organizing a workshop at the office. They want to collect ideas for a new product with the team and gather everyone's thoughts on at the office whiteboard. In your office, you have whiteboard marker, a notebook, sticky bookmarks, and an eraser. Your colleague asks:","No, but I have whiteboard marker, a notebook, sticky bookmarks.","No, but I have whiteboard marker, sticky bookmarks, a notebook.","No, but I have a notebook, whiteboard marker, sticky bookmarks.","No, but I have a notebook, sticky bookmarks, whiteboard marker.","No, but I have sticky bookmarks, whiteboard marker, a notebook.","No, but I have sticky bookmarks, a notebook, whiteboard marker.","No, but I have whiteboard marker and sticky bookmarks.","No, but I have sticky bookmarks and whiteboard marker.","No, but I have sticky bookmarks.","No, but I have whiteboard marker and a notebook.","No, but I have a notebook and whiteboard marker.","No, but I have a notebook and sticky bookmarks.","No, but I have sticky bookmarks and a notebook.","No, but I have whiteboard marker, a notebook, sticky bookmarks, an eraser.","No, but I have whiteboard marker, a notebook, an eraser, sticky bookmarks.","No, but I have whiteboard marker, sticky bookmarks, a notebook, an eraser.","No, but I have whiteboard marker, sticky bookmarks, an eraser, a notebook.","No, but I have whiteboard marker, an eraser, a notebook, sticky bookmarks.","No, but I have whiteboard marker, an eraser, sticky bookmarks, a notebook.","No, but I have a notebook, whiteboard marker, sticky bookmarks, an eraser.","No, but I have a notebook, whiteboard marker, an eraser, sticky bookmarks.","No, but I have a notebook, sticky bookmarks, whiteboard marker, an eraser.","No, but I have a notebook, sticky bookmarks, an eraser, whiteboard marker.","No, but I have a notebook, an eraser, whiteboard marker, sticky bookmarks.","No, but I have a notebook, an eraser, sticky bookmarks, whiteboard marker.","No, but I have sticky bookmarks, whiteboard marker, a notebook, an eraser.","No, but I have sticky bookmarks, whiteboard marker, an eraser, a notebook.","No, but I have sticky bookmarks, a notebook, whiteboard marker, an eraser.","No, but I have sticky bookmarks, a notebook, an eraser, whiteboard marker.","No, but I have sticky bookmarks, an eraser, whiteboard marker, a notebook.","No, but I have sticky bookmarks, an eraser, a notebook, whiteboard marker.","No, but I have an eraser, whiteboard marker, a notebook, sticky bookmarks.","No, but I have an eraser, whiteboard marker, sticky bookmarks, a notebook.","No, but I have an eraser, a notebook, whiteboard marker, sticky bookmarks.","No, but I have an eraser, a notebook, sticky bookmarks, whiteboard marker.","No, but I have an eraser, sticky bookmarks, whiteboard marker, a notebook.","No, but I have an eraser, sticky bookmarks, a notebook, whiteboard marker."
17,postit-reading,postit,Do you have post-its?,"I'm sorry, I don't have post-its.","No, but I have sticky bookmarks.","No, but I have a notebook.","No, but I have an eraser.","Your colleague at the office has to read through a lot of documents and wants to take some notes. At your desk, you have sticky bookmarks, a notebook, whiteboard marker, and an eraser. Your colleague asks: Do you have post-its? You reply:","Your colleague at the office has to read through a lot of documents and wants to take some notes. At your desk, you have sticky bookmarks, a notebook, whiteboard marker, and an eraser. Your colleague asks:","No, but I have sticky bookmarks, a notebook, whiteboard marker.","No, but I have sticky bookmarks, whiteboard marker, a notebook.","No, but I have a notebook, sticky bookmarks, whiteboard marker.","No, but I have a notebook, whiteboard marker, sticky bookmarks.","No, but I have whiteboard marker, sticky bookmarks, a notebook.","No, but I have whiteboard marker, a notebook, sticky bookmarks.","No, but I have sticky bookmarks and whiteboard marker.","No, but I have whiteboard marker and sticky bookmarks.","No, but I have whiteboard marker.","No, but I have sticky bookmarks and a notebook.","No, but I have a notebook and sticky bookmarks.","No, but I have a notebook and whiteboard marker.","No, but I have whiteboard marker and a notebook.","No, but I have sticky bookmarks, a notebook, whiteboard marker, an eraser.","No, but I have sticky bookmarks, a notebook, an eraser, whiteboard marker.","No, but I have sticky bookmarks, whiteboard marker, a notebook, an eraser.","No, but I have sticky bookmarks, whiteboard marker, an eraser, a notebook.","No, but I have sticky bookmarks, an eraser, a notebook, whiteboard marker.","No, but I have sticky bookmarks, an eraser, whiteboard marker, a notebook.","No, but I have a notebook, sticky bookmarks, whiteboard marker, an eraser.","No, but I have a notebook, sticky bookmarks, an eraser, whiteboard marker.","No, but I have a notebook, whiteboard marker, sticky bookmarks, an eraser.","No, but I have a notebook, whiteboard marker, an eraser, sticky bookmarks.","No, but I have a notebook, an eraser, sticky bookmarks, whiteboard marker.","No, but I have a notebook, an eraser, whiteboard marker, sticky bookmarks.","No, but I have whiteboard marker, sticky bookmarks, a notebook, an eraser.","No, but I have whiteboard marker, sticky bookmarks, an eraser, a notebook.","No, but I have whiteboard marker, a notebook, sticky bookmarks, an eraser.","No, but I have whiteboard marker, a notebook, an eraser, sticky bookmarks.","No, but I have whiteboard marker, an eraser, sticky bookmarks, a notebook.","No, but I have whiteboard marker, an eraser, a notebook, sticky bookmarks.","No, but I have an eraser, sticky bookmarks, a notebook, whiteboard marker.","No, but I have an eraser, sticky bookmarks, whiteboard marker, a notebook.","No, but I have an eraser, a notebook, sticky bookmarks, whiteboard marker.","No, but I have an eraser, a notebook, whiteboard marker, sticky bookmarks.","No, but I have an eraser, whiteboard marker, sticky bookmarks, a notebook.","No, but I have an eraser, whiteboard marker, a notebook, sticky bookmarks."
18,pot-garden,pot,Do you have a pot?,"I'm sorry, I don't have a pot.","No, but I have old cans.","No, but I have several pans.","No, but I have ceramic plates.","Your neighbor is a passionate gardener. She is now repotting and splitting her plants on the veranda, but since they grew so big she ran out of pots. You are also a crafty person, so have different supplies stored in you basement. You have old cans, several pans, camping cookware, and ceramic plates. She asks: Do you have a pot? You reply:","Your neighbor is a passionate gardener. She is now repotting and splitting her plants on the veranda, but since they grew so big she ran out of pots. You are also a crafty person, so have different supplies stored in you basement. You have old cans, several pans, camping cookware, and ceramic plates. She asks:","No, but I have old cans, several pans, camping cookware.","No, but I have old cans, camping cookware, several pans.","No, but I have several pans, old cans, camping cookware.","No, but I have several pans, camping cookware, old cans.","No, but I have camping cookware, old cans, several pans.","No, but I have camping cookware, several pans, old cans.","No, but I have old cans and camping cookware.","No, but I have camping cookware and old cans.","No, but I have camping cookware.","No, but I have old cans and several pans.","No, but I have several pans and old cans.","No, but I have several pans and camping cookware.","No, but I have camping cookware and several pans.","No, but I have old cans, several pans, camping cookware, ceramic plates.","No, but I have old cans, several pans, ceramic plates, camping cookware.","No, but I have old cans, camping cookware, several pans, ceramic plates.","No, but I have old cans, camping cookware, ceramic plates, several pans.","No, but I have old cans, ceramic plates, several pans, camping cookware.","No, but I have old cans, ceramic plates, camping cookware, several pans.","No, but I have several pans, old cans, camping cookware, ceramic plates.","No, but I have several pans, old cans, ceramic plates, camping cookware.","No, but I have several pans, camping cookware, old cans, ceramic plates.","No, but I have several pans, camping cookware, ceramic plates, old cans.","No, but I have several pans, ceramic plates, old cans, camping cookware.","No, but I have several pans, ceramic plates, camping cookware, old cans.","No, but I have camping cookware, old cans, several pans, ceramic plates.","No, but I have camping cookware, old cans, ceramic plates, several pans.","No, but I have camping cookware, several pans, old cans, ceramic plates.","No, but I have camping cookware, several pans, ceramic plates, old cans.","No, but I have camping cookware, ceramic plates, old cans, several pans.","No, but I have camping cookware, ceramic plates, several pans, old cans.","No, but I have ceramic plates, old cans, several pans, camping cookware.","No, but I have ceramic plates, old cans, camping cookware, several pans.","No, but I have ceramic plates, several pans, old cans, camping cookware.","No, but I have ceramic plates, several pans, camping cookware, old cans.","No, but I have ceramic plates, camping cookware, old cans, several pans.","No, but I have ceramic plates, camping cookware, several pans, old cans."
19,pot-jam,pot,Do you have a pot?,"I'm sorry, I don't have a pot.","No, but I have camping cookware.","No, but I have several pans.","No, but I have ceramic plates.","Your neighbor has a beautiful apple tree in their garden. They harvested a lot of apples and are now in the middle of cooking apple jam in the garden. However, she ran out of space for cooking the apples since there are so many. In your basement, you have camping cookware, several pans, old cans, and ceramic plates. She asks: Do you have a pot? You reply:","Your neighbor has a beautiful apple tree in their garden. They harvested a lot of apples and are now in the middle of cooking apple jam in the garden. However, she ran out of space for cooking the apples since there are so many. In your basement, you have camping cookware, several pans, old cans, and ceramic plates. She asks:","No, but I have camping cookware, several pans, old cans.","No, but I have camping cookware, old cans, several pans.","No, but I have several pans, camping cookware, old cans.","No, but I have several pans, old cans, camping cookware.","No, but I have old cans, camping cookware, several pans.","No, but I have old cans, several pans, camping cookware.","No, but I have camping cookware and old cans.","No, but I have old cans and camping cookware.","No, but I have old cans.","No, but I have camping cookware and several pans.","No, but I have several pans and camping cookware.","No, but I have several pans and old cans.","No, but I have old cans and several pans.","No, but I have camping cookware, several pans, old cans, ceramic plates.","No, but I have camping cookware, several pans, ceramic plates, old cans.","No, but I have camping cookware, old cans, several pans, ceramic plates.","No, but I have camping cookware, old cans, ceramic plates, several pans.","No, but I have camping cookware, ceramic plates, several pans, old cans.","No, but I have camping cookware, ceramic plates, old cans, several pans.","No, but I have several pans, camping cookware, old cans, ceramic plates.","No, but I have several pans, camping cookware, ceramic plates, old cans.","No, but I have several pans, old cans, camping cookware, ceramic plates.","No, but I have several pans, old cans, ceramic plates, camping cookware.","No, but I have several pans, ceramic plates, camping cookware, old cans.","No, but I have several pans, ceramic plates, old cans, camping cookware.","No, but I have old cans, camping cookware, several pans, ceramic plates.","No, but I have old cans, camping cookware, ceramic plates, several pans.","No, but I have old cans, several pans, camping cookware, ceramic plates.","No, but I have old cans, several pans, ceramic plates, camping cookware.","No, but I have old cans, ceramic plates, camping cookware, several pans.","No, but I have old cans, ceramic plates, several pans, camping cookware.","No, but I have ceramic plates, camping cookware, several pans, old cans.","No, but I have ceramic plates, camping cookware, old cans, several pans.","No, but I have ceramic plates, several pans, camping cookware, old cans.","No, but I have ceramic plates, several pans, old cans, camping cookware.","No, but I have ceramic plates, old cans, camping cookware, several pans.","No, but I have ceramic plates, old cans, several pans, camping cookware."
