itemName,question,highProb_option,midProb_option,lowProb_option,context_begin,context_cont,answer_template,options_combined,prepped_context,condition,condition_context,context_qa
airplaneJuice,“Do you have juice?” The flight attendant replies:,tomato juice,orange juice,green juice,There are three types of juice offered during flights:,"It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",The flight attendant replies:,"tomato juice, orange juice and green juice.","There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",high_prior,A long-distance flight by Delta offers all types of juice except the least commonly ordered green juice. A passenger asks the flight attendant:,"There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally. A long-distance flight by Delta offers all types of juice except the least commonly ordered green juice. A passenger asks the flight attendant:"
airplaneJuice,“Do you have juice?” The flight attendant replies:,tomato juice,orange juice,green juice,There are three types of juice offered during flights:,"It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",The flight attendant replies:,"tomato juice, orange juice and green juice.","There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",low_prior,A long-distance flight by Delta offers all types of juice except the most commonly ordered tomato juice. A passenger asks the flight attendant:,"There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally. A long-distance flight by Delta offers all types of juice except the most commonly ordered tomato juice. A passenger asks the flight attendant:"
coffeeShop,“Can I get a decaf coffee nearby?” The receptionist replies:,Starbucks,McCafé,Café Nero,There are three coffee shop chains in your city:,"It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",The receptionist replies:,"Starbucks, McCafé and Café Nero.","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",high_prior,"A big conference center is located in the city center. There are shops of all chains nearby except for Café Nero, the shop with the fewest decaf options. A visitor asks at the front desk:","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf. A big conference center is located in the city center. There are shops of all chains nearby except for Café Nero, the shop with the fewest decaf options. A visitor asks at the front desk:"
coffeeShop,“Can I get a decaf coffee nearby?” The receptionist replies:,Starbucks,McCafé,Café Nero,There are three coffee shop chains in your city:,"It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",The receptionist replies:,"Starbucks, McCafé and Café Nero.","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",low_prior,"A big conference center is located in the city center. There are shops of all chains nearby except for Starbucks, the shop with the most decaf options. A visitor asks at the front desk:","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf. A big conference center is located in the city center. There are shops of all chains nearby except for Starbucks, the shop with the most decaf options. A visitor asks at the front desk:"
socialMedia,“Can I connect with you on social media?” Your friend replies:,Facebook,Instagram,Threads,There are three major social media platforms:,"It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",Your friend replies:,"Facebook, Instagram and Threads.","There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",high_prior,Your well-connected friend uses all social media platforms except the least widespread Threads. A new acquaintance at a party comes up to your friend and asks:,"There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users. Your well-connected friend uses all social media platforms except the least widespread Threads. A new acquaintance at a party comes up to your friend and asks:"
socialMedia,“Can I connect with you on social media?” Your friend replies:,Facebook,Instagram,Threads,There are three major social media platforms:,"It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",Your friend replies:,"Facebook, Instagram and Threads.","There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",low_prior,Your well-connected friend uses all social media platforms except the most widespread Facebook. A new acquaintance at a party comes up to your friend and asks:,"There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users. Your well-connected friend uses all social media platforms except the most widespread Facebook. A new acquaintance at a party comes up to your friend and asks:"
dricersLicense,“Do you have small rental vehicles for getting around town?” The receptionist replies:,electric scooters,mopeds,electric bikes,There are three micro mobility options in your town:,"It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",The receptionist replies:,"electric scooters, mopeds and electric bikes.","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",high_prior,"Hotel Atlantis offers all the mobility options except the most strictly licensed option, electric bikes. A guest asks at the front desk:","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes. Hotel Atlantis offers all the mobility options except the most strictly licensed option, electric bikes. A guest asks at the front desk:"
dricersLicense,“Do you have small rental vehicles for getting around town?” The receptionist replies:,electric scooters,mopeds,electric bikes,There are three micro mobility options in your town:,"It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",The receptionist replies:,"electric scooters, mopeds and electric bikes.","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",low_prior,"Hotel Atlantis offers all the mobility options except the least strictly licensed option, electric scooters. A guest asks at the front desk:","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes. Hotel Atlantis offers all the mobility options except the least strictly licensed option, electric scooters. A guest asks at the front desk:"
videoGames,“Do you sell video games?” The salesperson replies:,PlayStation,Wii,GameCube,People generally play video games on three consoles in your town:,"It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",The salesperson replies:,"PlayStation, Wii and GameCube.","People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",high_prior,An electronics store carries games for all consoles except the least common GameCube. A customer walks in and asks:,"People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users. An electronics store carries games for all consoles except the least common GameCube. A customer walks in and asks:"
videoGames,“Do you sell video games?” The salesperson replies:,PlayStation,Wii,GameCube,People generally play video games on three consoles in your town:,"It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",The salesperson replies:,"PlayStation, Wii and GameCube.","People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",low_prior,An electronics store carries games for all consoles except the most common PlayStation. A customer walks in and asks:,"People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users. An electronics store carries games for all consoles except the most common PlayStation. A customer walks in and asks:"
